sample_fp	plate	cycle	well	tile	channel
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_18_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	18	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_18_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	18	638_nm_-_A
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_18_0_Fluorescence_638_nm_-_C.tiff	1	1	A1	18	638_nm_-_C
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_19_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	19	405_nm_-_Penta
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_19_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	19	561_nm_-_G
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_19_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	19	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_19_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	19	638_nm_-_A
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_19_0_Fluorescence_638_nm_-_C.tiff	1	1	A1	19	638_nm_-_C
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_20_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	20	405_nm_-_Penta
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_20_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	20	561_nm_-_G
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_20_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	20	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_20_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	20	638_nm_-_A
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_20_0_Fluorescence_638_nm_-_C.tiff	1	1	A1	20	638_nm_-_C
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_21_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	21	405_nm_-_Penta
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_21_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	21	561_nm_-_G
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_21_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	21	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_21_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	21	638_nm_-_A
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_21_0_Fluorescence_638_nm_-_C.tiff	1	1	A1	21	638_nm_-_C
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_22_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	22	405_nm_-_Penta
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_22_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	22	561_nm_-_G
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_22_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	22	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_22_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	22	638_nm_-_A
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_22_0_Fluorescence_638_nm_-_C.tiff	1	1	A1	22	638_nm_-_C
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_23_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	23	405_nm_-_Penta
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_23_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	23	561_nm_-_G
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_23_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	23	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_23_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	23	638_nm_-_A
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_23_0_Fluorescence_638_nm_-_C.tiff	1	1	A1	23	638_nm_-_C
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_24_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	24	405_nm_-_Penta
